categoria;categoria_id;codigo_barra;marca;marca_id;nombre;precio;precio_lista;producto_id;sku_id;stock;url
Maní;387;7790524324050;Croppers;2000364;MANI CROPPERS PANCETA X 80 Gr;183.99;183.99;482976;28179;84;https://www.hiperlibertad.com.ar/mani-croppers-panceta-x-80-gr/p
Maní;387;7798151952981;Maní King;2001437;MANI CON CASCARA MANI KING X 175 Gr;353.0;353.0;479878;24575;122;https://www.hiperlibertad.com.ar/mani-con-cascara-mani-king-x-175-gr/p
Maní;387;7790524324036;Croppers;2000364;MANI CROPPERS BARBACOA X 80 Gr;183.99;183.99;477293;30555;80;https://www.hiperlibertad.com.ar/mani-croppers-barbacoa-x-80-gr/p
Maní;387;7790524324005;Croppers;2000364;MANI CROPPERS CREMA Y CEBOLLA X 80 Gr;183.99;183.99;477292;28200;117;https://www.hiperlibertad.com.ar/mani-croppers-crema-y-cebolla-x-80-gr/p
Maní;387;7790310984543;Pehuamar;2000344;MANI PEHUAMAR MANIAX JAPONES AJI Y LIM;347.34;347.34;473843;18330;210;https://www.hiperlibertad.com.ar/mani-pehuamar-maniax-japones-aji-y-lim/p
Maní;387;7790310984529;Pehuamar;2000344;MANI PEHUAMAR MANIAX JAPONES SAL Y LIM;377.99;377.99;473729;18329;166;https://www.hiperlibertad.com.ar/mani-pehuamar-maniax-japones-sal-y-lim/p
Maní;387;7790310982945;Pehuamar;2000344;Maní Japonés Pehuamar Sabor Jamón 110 gr;412.0;412.0;471297;18617;120;https://www.hiperlibertad.com.ar/man-japon-s-sabor-jam-n-110-gr/p
Maní;387;7790310982938;Pehuamar;2000344;Maní Japonés Pehuamar 110 gr;412.0;412.0;471296;16617;74;https://www.hiperlibertad.com.ar/man-japon-s-pehuamar-110-gr/p
Maní;387;7790310984079;Pehuamar;2000344;Maní con Piel Pehuamar 150 gr;364.77;364.77;471295;16665;74;https://www.hiperlibertad.com.ar/man-con-piel-pehuamar-150-gr/p
Maní;387;7790310983911;Pehuamar;2000344;Maní con Piel Pehuamar 85 gr;300.0;300.0;471293;16600;171;https://www.hiperlibertad.com.ar/man-con-piel-pehuamar-85-gr/p
Maní;387;7790310983904;Mir;2000012;MANI CON PIEL  PEHUAMAR 85G;272.67;272.67;471292;16552;367;https://www.hiperlibertad.com.ar/man-pelado-pehuamar-85-gr/p
Maní;387;7790310983935;Pehuamar;2000344;Maní Pelado Pehuamar 351 gr;780.99;780.99;471291;16632;28;https://www.hiperlibertad.com.ar/man-pelado-pehuamar-351-gr/p
Maní;387;7798151952592;Maní King;2001437;MANI KING CROC SABOR QUESO 80G;382.0;382.0;468911;18374;24;https://www.hiperlibertad.com.ar/mani-king-croc-sabor-queso-80g/p
Maní;387;7790524323909;Croppers;2000364;MANÍ TOSTADO CROPPERS SIN SALX340;401.99;401.99;468435;18052;9;https://www.hiperlibertad.com.ar/mani-tostado-croppers-sin-salx340/p
Maní;387;7798151952745;King;2000771;MANI KING TOST DOY PACKX500GRS;825.0;825.0;456852;12431;242;https://www.hiperlibertad.com.ar/mani-king-tost-doy-packx500grs/p
Maní;387;;Maní King;2001437;MANI KING TOST Sin SAL X 120GRS;209.0;209.0;456850;11836;220;https://www.hiperlibertad.com.ar/mani-king-tost-sin-sal-x-120grs/p
Maní;387;7798151952578;Maní King;2001437;MANI KING SAL C/ PIEL X 120GRS;267.0;267.0;456849;11835;112;https://www.hiperlibertad.com.ar/mani-king-sal-c-piel-x-120grs/p
Palitos;389;7790310983362;Pehuamar;2000344;Palitos Salados Pehuamar 190 gr;298.0;298.0;466139;10923;50;https://www.hiperlibertad.com.ar/palitos-salados-pehuamar-190-gr/p
Palitos;389;7790310984406;Pehuamar;2000344;Palitos Queso Pehuamar 180 gr;448.99;448.99;471279;16663;48;https://www.hiperlibertad.com.ar/palitos-queso-pehuamar-180-gr/p
Palitos;389;7790310984291;Pep;2001179;Palitos Pep Comun 84 gr;243.25;243.25;471359;16666;56;https://www.hiperlibertad.com.ar/palitos-pep-comun-84-gr/p
Palitos;389;7790310984321;Pep;2001179;Palitos Pep Rueditas 120 gr;443.99;443.99;471290;16599;16;https://www.hiperlibertad.com.ar/palitos-pep-rueditas-120-gr/p
Palitos;389;7790310984314;Pep;2001179;Palitos Pep Rueditas 74 gr;277.99;277.99;471289;16631;85;https://www.hiperlibertad.com.ar/palitos-pep-rueditas-74-gr/p
Palitos;389;7790310984307;Pep;2001179;Palitos Pep Comun 120 gr;255.99;255.99;471286;16645;43;https://www.hiperlibertad.com.ar/palitos-pep-comun-120-gr/p
Palitos;389;7790310984376;Pehuamar;2000344;Palitos Salados Pehuamar 680 gr;1154.0;1154.0;471282;18733;2;https://www.hiperlibertad.com.ar/palitos-salados-pehuamar-680-gr/p
Palitos;389;7790310984390;Pehuamar;2000344;Palitos Queso Pehuamar 90 gr;205.92;205.92;471278;16614;15;https://www.hiperlibertad.com.ar/palitos-queso-pehuamar-90-gr/p
AURICULARES;39;8804240057693;Mir;2000012;AURICULARES INALAMBRICO BOOST GO NARA;9799.0;9799.0;469611;19377;2;https://www.hiperlibertad.com.ar/auriculares-inalambrico-boost-go-nara/p
AURICULARES;39;7796962983200;NOBLEX;2000099;AURICULARES VINCHA NOBLEX HP107BB NEGRO;3674.3;5249.0;469166;36332;2;https://www.hiperlibertad.com.ar/auriculares-vincha-noblex-hp107bb-negro/p
